algorithm,init,crossover,run,seed,f1_compactness,f2_transformed_tolerance,f3_transformed_hamming_avg,f4_balance_var
NSGA2,random_dense,UX,1,2046743687,97.0,-0.21649484536082475,-0.4109728010528625,0.003584753180750581
NSGA2,random_dense,UX,1,2046743687,92.0,-0.25,-0.4271411501695961,0.0038789137129566767
NSGA2,random_dense,UX,1,2046743687,131.0,-0.22137404580152673,-0.3822072437875589,0.002591570527876117
NSGA2,random_dense,UX,1,2046743687,99.0,-0.2222222222222222,-0.41401604699477035,0.00355151072306403
NSGA2,random_dense,UX,1,2046743687,108.0,-0.25925925925925924,-0.4289302600472813,0.003668106257178768
NSGA2,random_dense,UX,1,2046743687,167.0,-0.11976047904191617,-0.3003514248099546,0.0013003231293228304
NSGA2,random_dense,UX,1,2046743687,103.0,-0.2815533980582524,-0.4442866487640295,0.004464532838211829
NSGA2,random_dense,UX,1,2046743687,204.0,-0.17647058823529413,-0.3130388680294813,0.0013292305740445526
NSGA2,random_dense,UX,1,2046743687,126.0,-0.1984126984126984,-0.3555457052797478,0.0021862317637226744
NSGA2,random_dense,UX,1,2046743687,210.0,-0.21904761904761905,-0.3512917933130699,0.0019498920361867434
NSGA2,random_dense,UX,1,2046743687,110.0,-0.2727272727272727,-0.42645067698259187,0.0035392691369017623
NSGA2,random_dense,UX,1,2046743687,161.0,-0.2360248447204969,-0.3738877141976124,0.0024489201244977175
NSGA2,random_dense,UX,1,2046743687,122.0,-0.26229508196721313,-0.40797581676549244,0.0032129020399136307
NSGA2,random_dense,UX,1,2046743687,137.0,-0.24087591240875914,-0.3846352953357146,0.0027001995990909625
NSGA2,random_dense,UX,1,2046743687,224.0,-0.20089285714285715,-0.33195605369807496,0.0016249769775733213
NSGA2,random_dense,UX,1,2046743687,116.0,-0.27586206896551724,-0.4473816947909024,0.004433866958667893
NSGA2,random_dense,UX,1,2046743687,217.0,-0.18433179723502305,-0.3148307023564402,0.001372170455296102
NSGA2,random_dense,UX,1,2046743687,147.0,-0.25170068027210885,-0.38664543831717085,0.0026642918441686586
NSGA2,random_dense,UX,1,2046743687,98.0,-0.2653061224489796,-0.42404834274135184,0.003741641410708581
NSGA2,random_dense,UX,1,2046743687,103.0,-0.27184466019417475,-0.44719582730840735,0.0045885350969335536
