generation,algorithm,init,crossover,run,seed,n_solutions,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
431,MOEAD_TCHE,greedy_multi,UX,1,1512656746,80,0.22929928917651804,1.8228387054020971,1.8871970940456038,0.04364945189334528,0.0035976060788092123,0.6347354456163325,0.2391304347826087,0.16015655681833482,17.404521276595748,0.022544716679528173
441,MOEAD_TCHE,greedy_multi,UX,1,1512656746,76,0.22929928917651804,1.8228387054020971,1.8871970940456038,0.0436467705625163,0.0035976060788092123,0.625262888497452,0.23404255319148937,0.15776341504787056,17.208146696528555,0.022290345461824554
451,MOEAD_TCHE,greedy_multi,UX,1,1512656746,76,0.22929928917651804,1.8228387054020971,1.8871970940456038,0.0436467705625163,0.0035976060788092123,0.625262888497452,0.23404255319148937,0.15776341504787056,17.208146696528555,0.022290345461824554
461,MOEAD_TCHE,greedy_multi,UX,1,1512656746,76,0.22929928917651804,1.8228387054020971,1.8873855606399572,0.04364171268922732,0.0035976060788092123,0.6250844374938356,0.23255813953488372,0.15754431966834864,17.20759845091452,0.022289635299112074
471,MOEAD_TCHE,greedy_multi,UX,1,1512656746,76,0.22929928917651804,1.8228387054020971,1.8873855606399572,0.04363715151222886,0.0035976060788092123,0.6249147662178701,0.23255813953488372,0.15696192442131926,17.205032194848826,0.02228631113322387
481,MOEAD_TCHE,greedy_multi,UX,1,1512656746,68,0.23579696743622308,1.8193519937247458,1.8869098155449597,0.04438395345068311,0.0035976060788092123,0.5998485146636705,0.22448979591836735,0.15188007694629532,16.621871088861077,0.021530921099560982
491,MOEAD_TCHE,greedy_multi,UX,1,1512656746,84,0.23579696743622308,1.8193519937247458,1.886445449219799,0.04439046806093197,0.0035976060788092123,0.6548506881173731,0.22,0.1571143357285401,17.71547830124958,0.02294751075291396
500,MOEAD_TCHE,greedy_multi,UX,1,1512656746,85,0.23579696743622308,1.8193519937247458,1.886445449219799,0.044395202940221895,0.0035976060788092123,0.6625408492618364,0.22,0.15920246019694242,17.880736337088027,0.0231615755661762
1,MOEAD_TCHE,greedy_multi,UX,3,2005076355,187,0.076319899882626,1.9303908454681717,1.9496946250763305,0.02311175327973462,0.00010086746015369741,0.13211398111067119,0.21052631578947367,0.11450069345344259,6.777946865399932,0.00877972391891183
11,MOEAD_TCHE,greedy_multi,UX,3,2005076355,76,0.12579578855819,1.8992815613415532,1.9364736308714485,0.028368745061741793,0.0011095420616888951,0.3348124558672504,0.17857142857142858,0.08167744197827334,10.95811170212766,0.014194445210009923
21,MOEAD_TCHE,greedy_multi,UX,3,2005076355,86,0.1467995905923002,1.8838787049068237,1.9273148651724725,0.031195855313655246,0.0011095420616888951,0.40697428724854945,0.1935483870967742,0.10885050645868025,12.74312427841003,0.016506637666334235
31,MOEAD_TCHE,greedy_multi,UX,3,2005076355,78,0.1467995905923002,1.8838787049068237,1.9273148651724725,0.031208132744284894,0.0011095420616888951,0.4208125729723373,0.2,0.11569179717612457,13.075991089288962,0.01693781229182508
41,MOEAD_TCHE,greedy_multi,UX,3,2005076355,77,0.1467995905923002,1.8838787049068237,1.9273148651724725,0.031202171247147782,0.0011095420616888951,0.41751546048856153,0.2,0.11678258528375744,13.001692456479692,0.016841570539481467
51,MOEAD_TCHE,greedy_multi,UX,3,2005076355,75,0.1467995905923002,1.8838787049068237,1.9270682287961598,0.0312001498883082,0.0011095420616888951,0.4287435176240096,0.1935483870967742,0.12152124670065981,13.267222222222223,0.017185521013241223
61,MOEAD_TCHE,greedy_multi,UX,3,2005076355,70,0.15037843624450783,1.8818962008517097,1.9269133931809808,0.03155182540905653,0.0011095420616888951,0.4055746605944156,0.1935483870967742,0.11600862517531119,12.724569402228978,0.01648260285262821
71,MOEAD_TCHE,greedy_multi,UX,3,2005076355,76,0.16633289495038664,1.8702226702269504,1.9190463551736974,0.03382147444072136,0.0011095420616888951,0.46529208532790306,0.20689655172413793,0.12991796871161732,14.020751679731243,0.018161595440066375
