config,time_seg
RVEA-greedy_multi-HUX,144.88984560966492
RVEA-greedy_multi-HUX,214.9630753993988
RVEA-greedy_multi-HUX,257.31724405288696
RVEA-greedy_multi-HUX,244.15005660057068
RVEA-greedy_multi-1P,236.96424746513367
RVEA-greedy_multi-1P,192.07328152656555
RVEA-greedy_multi-1P,227.38869619369507
RVEA-greedy_multi-1P,170.01805710792542
RVEA-greedy_multi-1P,185.3564214706421
RVEA-greedy_multi-2P,155.4745614528656
RVEA-greedy_multi-2P,203.09205198287964
RVEA-greedy_multi-2P,192.63064694404602
RVEA-greedy_multi-2P,163.5263810157776
RVEA-greedy_multi-2P,158.97097373008728
